code,cross_date,name,industry,brief
603698,2025-09-11,航天工程,专业服务,
002006,2025-09-16,精工科技,专用设备,
002527,2025-09-08,新时达,专用设备,
002529,2025-09-05,*ST海源,专用设备,
002698,2025-09-08,博实股份,专用设备,
003036,2025-09-05,泰坦股份,专用设备,
600501,2025-09-30,航天晨光,专用设备,
603081,2025-09-26,大丰实业,专用设备,
603416,2025-09-08,信捷电气,专用设备,
600080,2025-09-30,金花股份,中药,
603998,2025-09-23,方盛制药,中药,
002291,2025-09-30,遥望科技,互联网服务,
002642,2025-08-22,荣联科技,互联网服务,
600718,2025-09-16,东软集团,互联网服务,
603496,2025-09-10,恒为科技,互联网服务,
603613,2025-08-21,国联股份,互联网服务,
603881,2025-08-22,数据港,互联网服务,
603111,2025-08-25,康尼机电,交运设备,
605056,2025-09-24,咸亨国际,仪器仪表,
002129,2025-09-24,TCL中环,光伏设备,
603398,2025-09-10,*ST沐邦,光伏设备,
002638,2025-09-01,勤上股份,光学光电子,
600071,2025-09-12,凤凰光学,光学光电子,
000592,2025-08-21,平潭发展,农牧饲渔,
600975,2025-09-08,新五丰,农牧饲渔,
603363,2025-08-26,傲农生物,农牧饲渔,
002215,2025-09-16,诺 普 信,农药兽药,
002513,2025-09-23,蓝丰生化,农药兽药,
603360,2025-08-27,百傲化学,农药兽药,
605033,2025-08-20,美邦股份,农药兽药,
600210,2025-08-29,紫江企业,包装材料,
000985,2025-09-29,大庆华科,化学制品,
001333,2025-09-18,光华股份,化学制品,
002211,2025-08-20,ST宏达,化学制品,
002246,2025-09-22,北化股份,化学制品,
002453,2025-09-17,华软科技,化学制品,
600370,2025-08-20,三房巷,化学制品,
603010,2025-09-29,万盛股份,化学制品,
603790,2025-09-12,雅运股份,化学制品,
603948,2025-08-27,建业股份,化学制品,
000813,2025-09-26,德展健康,化学制药,
000301,2025-08-20,东方盛虹,化学原料,
002109,2025-08-22,兴化股份,化学原料,
600623,2025-09-29,华谊集团,化学原料,
600722,2025-08-20,金牛化工,化学原料,
600784,2025-09-29,鲁银投资,化学原料,
600989,2025-08-21,宝丰能源,化学原料,
603062,2025-09-24,麦加芯彩,化学原料,
000703,2025-08-20,恒逸石化,化纤行业,
002998,2025-09-30,优彩资源,化纤行业,
600527,2025-09-10,江南高纤,化纤行业,
601113,2025-09-15,华鼎股份,化纤行业,
000792,2025-09-30,盐湖股份,化肥行业,
000893,2025-08-26,亚钾国际,化肥行业,
600078,2025-09-24,澄星股份,化肥行业,
001309,2025-09-16,德明利,半导体,
002119,2025-09-26,康强电子,半导体,
002213,2025-09-19,大为股份,半导体,
603986,2025-08-21,兆易创新,半导体,
002886,2025-09-08,沃特股份,塑料制品,
603150,2025-09-02,万朗磁塑,塑料制品,
000987,2025-09-26,越秀资本,多元金融,
603093,2025-09-29,南华期货,多元金融,
002348,2025-08-29,高乐股份,家用轻工,
002677,2025-09-17,浙江美大,家电行业,
601956,2025-09-16,东贝集团,家电行业,
603959,2025-09-09,百利科技,工程咨询服务,
600170,2025-09-15,上海建工,工程建设,
600846,2025-09-12,同济科技,工程建设,
603843,2025-09-12,*ST正平,工程建设,
000069,2025-09-16,华侨城Ａ,房地产开发,
000609,2025-08-21,ST中迪,房地产开发,
000718,2025-09-10,苏宁环球,房地产开发,
002133,2025-09-26,广宇集团,房地产开发,
002208,2025-09-29,合肥城建,房地产开发,
600159,2025-09-09,大龙地产,房地产开发,
600173,2025-09-09,卧龙新能,房地产开发,
600325,2025-08-25,华发股份,房地产开发,
600724,2025-09-02,宁波富达,房地产开发,
600848,2025-09-24,上海临港,房地产开发,
601512,2025-08-22,中新集团,房地产开发,
605098,2025-09-18,行动教育,教育,
001330,2025-08-21,博纳影业,文化传媒,
600640,2025-09-23,国脉文化,文化传媒,
000430,2025-09-08,ST张家界,旅游酒店,
600888,2025-09-19,新疆众和,有色金属,
601677,2025-09-30,明泰铝业,有色金属,
603978,2025-09-09,深圳新星,有色金属,
002984,2025-08-20,森麒麟,橡胶制品,
601058,2025-08-21,赛轮轮胎,橡胶制品,
000935,2025-09-05,四川双马,水泥建材,
600802,2025-09-26,福建水泥,水泥建材,
600006,2025-09-23,东风股份,汽车整车,
600375,2025-09-02,汉马科技,汽车整车,
000559,2025-09-15,万向钱潮,汽车零部件,
000981,2025-08-26,山子高科,汽车零部件,
001311,2025-09-08,多利科技,汽车零部件,
002708,2025-09-08,光洋股份,汽车零部件,
002715,2025-08-25,登云股份,汽车零部件,
002813,2025-09-15,路畅科技,汽车零部件,
002870,2025-09-05,香山股份,汽车零部件,
002906,2025-09-25,华阳集团,汽车零部件,
600741,2025-09-01,华域汽车,汽车零部件,
601689,2025-08-20,拓普集团,汽车零部件,
603197,2025-09-19,保隆科技,汽车零部件,
603201,2025-09-08,常润股份,汽车零部件,
603786,2025-08-26,科博达,汽车零部件,
603788,2025-09-26,宁波高发,汽车零部件,
605128,2025-09-15,上海沿浦,汽车零部件,
002351,2025-09-25,漫步者,消费电子,
002635,2025-09-29,安洁科技,消费电子,
002660,2025-09-04,茂硕电源,消费电子,
600130,2025-08-22,*ST波导,消费电子,
600633,2025-09-24,浙数文化,游戏,
002128,2025-09-08,电投能源,煤炭行业,
600395,2025-09-01,盘江股份,煤炭行业,
600408,2025-09-30,安泰集团,煤炭行业,
601898,2025-09-19,中煤能源,煤炭行业,
000593,2025-09-29,德龙汇能,燃气,
000669,2025-09-11,ST金鸿,燃气,
601139,2025-09-23,深圳燃气,燃气,
600119,2025-09-30,长江投资,物流行业,
000035,2025-09-08,中国天楹,环保行业,
000885,2025-09-29,城发环境,环保行业,
002645,2025-09-30,华宏科技,环保行业,
002163,2025-09-11,海南发展,玻璃玻纤,
600660,2025-08-21,福耀玻璃,玻璃玻纤,
000661,2025-09-01,长春高新,生物制品,
000875,2025-09-02,吉电股份,电力行业,
001258,2025-09-29,立新能源,电力行业,
002015,2025-09-24,协鑫能科,电力行业,
002608,2025-09-25,江苏国信,电力行业,
001298,2025-09-11,好上好,电子元件,
002179,2025-09-18,中航光电,电子元件,
603052,2025-09-29,可川科技,电子元件,
603267,2025-09-30,鸿远电子,电子元件,
603678,2025-09-11,火炬电子,电子元件,
603738,2025-09-19,泰晶科技,电子元件,
003021,2025-09-08,兆威机电,电机,
603659,2025-08-21,璞泰来,电池,
002630,2025-09-02,ST华西,电源设备,
002951,2025-09-25,金时科技,电源设备,
002169,2025-09-04,智光电气,电网设备,
002256,2025-08-25,兆新股份,电网设备,
002452,2025-09-26,长高电新,电网设备,
600312,2025-09-24,平高电气,电网设备,
600468,2025-09-30,百利电气,电网设备,
601096,2025-09-30,宏盛华源,电网设备,
002042,2025-09-05,华孚时尚,纺织服装,
002144,2025-09-01,宏达高科,纺织服装,
002154,2025-09-16,报 喜 鸟,纺织服装,
600107,2025-08-20,ST尔雅,纺织服装,
605189,2025-09-19,富春染织,纺织服装,
600315,2025-08-20,上海家化,美容护理,
000762,2025-09-29,西藏矿业,能源金属,
002192,2025-09-29,融捷股份,能源金属,
600879,2025-09-22,航天电子,航天航空,
600893,2025-09-29,航发动力,航天航空,
601111,2025-09-30,中国国航,航空机场,
603885,2025-09-29,吉祥航空,航空机场,
600026,2025-09-05,中远海能,航运港口,
601975,2025-08-22,招商南油,航运港口,
002631,2025-09-17,德尔未来,装修建材,
002641,2025-09-18,公元股份,装修建材,
002652,2025-09-30,扬子新材,装修建材,
600337,2025-09-16,美克家居,装修建材,
000166,2025-09-30,申万宏源,证券,
000686,2025-09-29,东北证券,证券,
600061,2025-09-29,国投资本,证券,
600155,2025-09-29,华创云信,证券,
600918,2025-09-29,中泰证券,证券,
600958,2025-09-29,东方证券,证券,
600999,2025-09-30,招商证券,证券,
601211,2025-09-29,国泰海通,证券,
601236,2025-09-29,红塔证券,证券,
601555,2025-09-29,东吴证券,证券,
601881,2025-09-30,中国银河,证券,
601901,2025-09-29,方正证券,证券,
601990,2025-09-29,南京证券,证券,
600547,2025-09-02,山东黄金,贵金属,
601069,2025-09-03,西部黄金,贵金属,
002183,2025-09-03,怡 亚 通,贸易行业,
600710,2025-09-26,苏美达,贸易行业,
600739,2025-09-29,辽宁成大,贸易行业,
603071,2025-09-29,物产环能,贸易行业,
002065,2025-09-18,东华软件,软件开发,
600536,2025-09-30,中国软件,软件开发,
600355,2025-09-30,*ST精伦,通信设备,
600562,2025-09-24,国睿科技,通信设备,
000410,2025-09-30,沈阳机床,通用设备,
002514,2025-09-03,宝馨科技,通用设备,
002530,2025-08-26,金财互联,通用设备,
605123,2025-09-30,派克新材,通用设备,
002836,2025-09-30,新宏泽,造纸印刷,
600103,2025-09-01,青山纸业,造纸印刷,
600433,2025-09-15,冠豪高新,造纸印刷,
000596,2025-08-20,古井贡酒,酿酒行业,
002554,2025-09-12,惠博普,采掘行业,
002629,2025-09-01,仁智股份,采掘行业,
002683,2025-09-15,广东宏大,采掘行业,
000629,2025-08-29,钒钛股份,钢铁行业,
000655,2025-09-30,金岭矿业,钢铁行业,
600808,2025-09-19,马钢股份,钢铁行业,
601969,2025-09-29,海南矿业,钢铁行业,
603878,2025-09-04,武进不锈,钢铁行业,
601333,2025-09-01,广深铁路,铁路公路,
603069,2025-09-12,海汽集团,铁路公路,
002130,2025-09-11,沃尔核材,非金属材料,
603218,2025-09-30,日月股份,风电设备,
001215,2025-09-01,千味央厨,食品饮料,
002695,2025-09-08,煌上煌,食品饮料,
603156,2025-09-25,养元饮品,食品饮料,
603755,2025-09-09,日辰股份,食品饮料,
